iso_code,location,population,date,vaccines,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,target_date
ARE,"United Arab Emirates",9890400,2021-02-21T00:00:00.000Z,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",5554342,,,71302,56.16,,,7209,
GBR,"United Kingdom",67886004,2021-02-20T00:00:00.000Z,"Oxford/AstraZeneca, Pfizer/BioNTech",18197269,17582121,615148,371052,26.81,25.9,0.91,5466,"Apr 2032"
USA,"United States",331002647,2021-02-21T00:00:00.000Z,"Moderna, Pfizer/BioNTech",63090634,43628092,18865319,1458040,18.86,13.05,5.64,4360,"Nov 2021"
VIR,"United States Virgin Islands",104423,,,,,,,,,,,
URY,Uruguay,3473727,,,,,,,,,,,
UZB,Uzbekistan,33469199,,,,,,,,,,,
VUT,Vanuatu,307150,,,,,,,,,,,
VAT,Vatican,809,,,,,,,,,,,
VEN,Venezuela,28435943,,,,,,,,,,,
VNM,Vietnam,97338583,,,,,,,,,,,
WLF,"Wallis and Futuna",11246,,,,,,,,,,,
ESH,"Western Sahara",597330,,,,,,,,,,,
OWID_WRL,World,7794798729,,,,,,,,,,,"Jan 2030"
YEM,Yemen,29825968,,,,,,,,,,,
ZMB,Zambia,18383956,,,,,,,,,,,
ZWE,Zimbabwe,14862927,,,,,,,,,,,
GGY,Guernsey,67052,2021-02-14T00:00:00.000Z,Pfizer/BioNTech,19284,13950,5334,593,28.76,20.8,7.96,8844,
JEY,Jersey,101073,2021-02-14T00:00:00.000Z,"Oxford/AstraZeneca, Pfizer/BioNTech",25952,22696,3256,706,25.68,22.46,3.22,6985,
